row_id,task,difficulty,model,variant,valid,overall_correct,methods_correct,columns_correct,over_selection,under_selection,n_pred_methods,n_gt_methods,pred_methods,gt_methods,ssc,drop_rate,add_rate_in,add_rate_out,n_summary,n_summary_applicable,n_summary_notapplicable,n_final_methods,n_dropped,n_added_in,n_added_out,n_consistent,label_clarity_auto,verdicts
0,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Mood Variance Test=include|Levene Test=include
1,Variance Test,easy,72B,V0,1,0,0,1,0,1,2,4,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Mood Variance Test=include|Levene Test=include
2,Distribution Compliance Test,easy,72B,V0,1,0,0,1,1,0,5,1,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test|Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,1.0,0.0,0.0,0.0,8,5,3,5,0,0,0,8,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
3,Distribution Compliance Test,hard,72B,V0,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,0.875,0.2,0.0,0.0,8,5,3,4,1,0,0,7,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
4,Distribution Compliance Test,hard,72B,V0,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,0.875,0.2,0.0,0.0,8,5,3,4,1,0,0,7,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
5,Descriptive Statistics,easy,72B,V0,1,0,0,1,1,0,3,1,Range|Quartile|Standard Deviation,Range,0.3333333333333333,0.0,1.0,0.0,3,1,2,3,0,2,0,1,partially_labeled,Quartile=include|Range=exclude|Standard Deviation=exclude
6,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Mood Variance Test=include|Levene Test=include
7,Contingency Table Test,hard,72B,V0,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,1.0,0.0,0.0,0.0,3,2,1,2,0,0,0,3,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude
8,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,,,,1.0,0,0,0,2,0,0,2,0,narrative_only,
9,Distribution Compliance Test,hard,72B,V0,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,0.7777777777777778,0.3333333333333333,0.0,0.0,9,6,3,4,2,0,0,7,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Mode=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
10,Correlation Analysis,easy,72B,V0,1,0,0,1,0,1,2,3,Spearman Correlation Coefficient|Kendall Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Spearman Correlation Coefficient=include|Kendall Correlation Coefficient=include
11,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Mood Variance Test=include|Levene Test=include
12,Distribution Compliance Test,easy,72B,V0,1,0,0,1,1,0,2,1,Anderson-Darling Test|Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Anderson-Darling Test=include|Kolmogorov-Smirnov Test=include
13,Contingency Table Test,hard,72B,V0,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,1.0,0.0,0.0,0.0,3,2,1,2,0,0,0,3,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude
14,Contingency Table Test,easy,72B,V0,1,0,1,0,0,0,2,2,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test|Fisher Exact Test,1.0,0.0,0.0,0.0,3,2,1,2,0,0,0,3,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude
15,Contingency Table Test,hard,72B,V0,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,1.0,0.0,0.0,0.0,2,1,1,1,0,0,0,2,partially_labeled,Fisher Exact Test=exclude|Chi-square Independence Test=include
16,Contingency Table Test,hard,72B,V0,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test,0.0,,1.0,0.0,2,0,2,2,0,2,0,0,partially_labeled,Chi-square Independence Test=exclude|Fisher Exact Test=exclude
17,Distribution Compliance Test,easy,72B,V0,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,0.5,0.5,,0.0,2,2,0,1,1,0,0,1,partially_labeled,Anderson-Darling Test=include|Kolmogorov-Smirnov Test=include
18,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.3333333333333333,0.5,1.0,0.0,3,2,1,2,1,1,0,1,partially_labeled,Levene Test=include|Median=include|Mood Variance Test=exclude
19,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,0.0,0.0,4,2,2,2,0,0,0,4,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=exclude|F-Test for Variance=exclude
20,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,0.0,0.0,4,2,2,2,0,0,0,4,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=exclude|F-Test for Variance=exclude
21,Distribution Compliance Test,easy,72B,V0,1,1,1,1,0,0,1,1,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,0.5,0.5,,0.0,2,2,0,1,1,0,0,1,partially_labeled,Anderson-Darling Test=include|Kolmogorov-Smirnov Test=include
22,Variance Test,easy,72B,V0,1,0,0,1,0,1,3,4,Levene Test|Bartlett Test|F-Test for Variance,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,0.75,0.25,,0.0,4,4,0,3,1,0,0,3,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include
23,Correlation Analysis,hard,72B,V0,1,0,0,1,1,0,3,1,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,Kendall Correlation Coefficient,1.0,0.0,,0.0,3,3,0,3,0,0,0,3,partially_labeled,Pearson Correlation Coefficient=include|Spearman Correlation Coefficient=include|Kendall Correlation Coefficient=include
24,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.6666666666666666,0.0,0.5,0.0,3,1,2,2,0,1,0,2,partially_labeled,Mood Variance Test=exclude|Levene Test=include|F-Test for Variance=exclude
25,Correlation Analysis,easy,72B,V0,1,0,0,1,0,1,2,3,Spearman Correlation Coefficient|Kendall Correlation Coefficient,Pearson Correlation Coefficient|Spearman Correlation Coefficient|Kendall Correlation Coefficient,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Spearman Correlation Coefficient=include|Kendall Correlation Coefficient=include
26,Contingency Table Test,easy,72B,V0,1,0,1,0,0,0,2,2,Chi-square Independence Test|Fisher Exact Test,Chi-square Independence Test|Fisher Exact Test,0.6666666666666666,0.3333333333333333,,0.0,3,3,0,2,1,0,0,2,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=include
27,Variance Test,easy,72B,V0,1,0,0,1,0,1,2,4,Bartlett Test|F-Test for Variance,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,0.5,0.5,,0.0,4,4,0,2,2,0,0,2,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include
28,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,0.0,0.0,4,2,2,2,0,0,0,4,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=exclude|F-Test for Variance=exclude
29,Distribution Compliance Test,easy,72B,V0,1,0,0,1,1,0,5,1,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test|Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,1.0,0.0,,0.0,5,5,0,5,0,0,0,5,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include
30,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,0.0,0.0,4,2,2,2,0,0,0,4,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=exclude|F-Test for Variance=exclude
31,Contingency Table Test,hard,72B,V0,1,0,0,1,1,0,2,1,Chi-square Independence Test|Fisher Exact Test,Fisher Exact Test,0.0,,1.0,0.0,2,0,2,2,0,2,0,0,partially_labeled,Chi-square Independence Test=exclude|Fisher Exact Test=exclude
32,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Mood Variance Test=include|Levene Test=include
33,Distribution Compliance Test,hard,72B,V0,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,0.8,0.2,,0.0,5,5,0,4,1,0,0,4,partially_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test=include|Kolmogorov-Smirnov Test for Normality=include|Lilliefors Test=include
34,Distribution Compliance Test,hard,72B,V0,1,0,0,1,1,0,5,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test|Kolmogorov-Smirnov Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,1.0,0.0,0.0,0.0,8,5,3,5,0,0,0,8,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
35,Variance Test,hard,72B,V0,1,0,0,1,1,1,2,2,Spearman Correlation Coefficient|Kendall Correlation Coefficient,Mood Variance Test|Levene Test,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Spearman Correlation Coefficient=include|Kendall Correlation Coefficient=include
36,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.5,0.5,,0.0,4,4,0,2,2,0,0,2,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include
37,Distribution Compliance Test,hard,72B,V0,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,0.8,0.2,,0.0,5,5,0,4,1,0,0,4,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include
38,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.6666666666666666,0.3333333333333333,,0.0,3,3,0,2,1,0,0,2,partially_labeled,Mood Variance Test=include|Levene Test=include|F-Test for Variance=include
39,Distribution Compliance Test,hard,72B,V0,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,0.7777777777777778,0.3333333333333333,0.0,0.0,9,6,3,4,2,0,0,7,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Mode=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
40,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.0,,1.0,0.0,2,0,2,2,0,2,0,0,partially_labeled,Mood Variance Test=exclude|Levene Test=exclude
41,Variance Test,hard,72B,V0,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,1.0,0.0,0.0,0.0,4,2,2,2,0,0,0,4,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=exclude|F-Test for Variance=exclude
42,Descriptive Statistics,easy,72B,V0,1,0,0,1,1,0,8,1,Mean|Median|Mode|Range|Quartile|Standard Deviation|Skewness|Kurtosis,Skewness,1.0,0.0,,0.0,8,8,0,8,0,0,0,8,fully_labeled,Skewness=include|Mean=include|Median=include|Mode=include|Range=include|Quartile=include|Standard Deviation=include|Kurtosis=include
