row_id,task,difficulty,model,variant,valid,overall_correct,methods_correct,columns_correct,over_selection,under_selection,n_pred_methods,n_gt_methods,pred_methods,gt_methods,ssc,drop_rate,add_rate_in,add_rate_out,n_summary,n_summary_applicable,n_summary_notapplicable,n_final_methods,n_dropped,n_added_in,n_added_out,n_consistent,label_clarity_auto,verdicts
0,Variance Test,hard,72B,V1,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.6666666666666666,0.3333333333333333,,0.0,3,3,0,2,1,0,0,2,partially_labeled,Mode=include|Levene Test=include|Mood Variance Test=include
1,Variance Test,easy,72B,V1,1,0,0,1,0,1,2,4,Bartlett Test|F-Test for Variance,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,0.6666666666666666,0.3333333333333333,,0.0,3,3,0,2,1,0,0,2,partially_labeled,Mood Variance Test=include|Bartlett Test=include|F-Test for Variance=include
2,Distribution Compliance Test,easy,72B,V1,1,0,0,1,1,0,2,1,Anderson-Darling Test|Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test,1.0,0.0,,0.0,2,2,0,2,0,0,0,2,partially_labeled,Anderson-Darling Test=include|Kolmogorov-Smirnov Test=include
3,Distribution Compliance Test,hard,72B,V1,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,0.7777777777777778,0.3333333333333333,0.0,0.0,9,6,3,4,2,0,0,7,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Mode=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
4,Distribution Compliance Test,hard,72B,V1,1,0,0,1,1,0,4,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,0.875,0.2,0.0,0.0,8,5,3,4,1,0,0,7,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude
5,Descriptive Statistics,easy,72B,V1,1,0,0,1,1,0,3,1,Range|Quartile|Standard Deviation,Range,1.0,0.0,,0.3333333333333333,2,2,0,3,0,0,1,2,partially_labeled,Range=include|Quartile=include
6,Variance Test,hard,72B,V1,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.0,1.0,,1.0,1,1,0,2,1,0,2,0,partially_labeled,Bartlett Test=include
7,Contingency Table Test,hard,72B,V1,1,1,1,1,0,0,1,1,Chi-square Independence Test,Chi-square Independence Test,,,,1.0,0,0,0,1,0,0,1,0,narrative_only,
8,Variance Test,hard,72B,V1,1,1,1,1,0,0,2,2,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test,0.5,0.5,,0.5,2,2,0,2,1,0,1,1,partially_labeled,Mode=include|Levene Test=include
9,Distribution Compliance Test,hard,72B,V1,1,0,0,1,1,0,5,3,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test|Kolmogorov-Smirnov Test,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,0.8,0.2,,0.2,5,5,0,5,1,0,1,4,partially_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Mode=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include
