row_id,task,question,gt_methods,pred_methods,auto_label_clarity,auto_verdicts,HUMAN_label_clarity[fully_labeled/partially_labeled/narrative_only],HUMAN_notes,model_output
148,Contingency Table Test,Are there any indications of a connection between smoking habits (SMOKE) and weight classification (NObeyesdad)?,Chi-square Independence Test,Chi-square Independence Test|Fisher Exact Test,fully_labeled,Chi-square Independence Test=include|Fisher Exact Test=include|Mantel-Haenszel Test=exclude,,,"1. The variables involved are SMOKE (categorical) and NObeyesdad (categorical).
2. The statistical task type is to determine if there is a connection between two categorical variables.
3. The appropriate method category is Contingency Table Test.
4. 
- Chi-square Independence Test: INCLUDE
- Fisher Exact Test: INCLUDE
- Mantel-Haenszel Test: EXCLUDE

5. Self-check: The methods marked INCLUDE are Chi-square Independence Test and Fisher Exact Test. Mantel-Haenszel Test is excluded because it is not suitable for this type of analysis involving two categorical variables without a stratification variable.

FINAL ANSWER (JSON): {""columns"": [""SMOKE"", ""NObeyesdad""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}"
389,Distribution Compliance Test,Is the annual crop production in Myanmar normally distributed?,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude,,,"1. The variable involved is 'Myanmar', which is a quantitative variable.
2. The statistical task type is to test if the data is normally distributed.
3. The appropriate method category is 'Distribution Compliance Test'.
4. 
Anderson-Darling Test: INCLUDE
Shapiro-Wilk Test of Normality: INCLUDE
Kolmogorov-Smirnov Test for Normality: INCLUDE
Lilliefors Test: INCLUDE
Kolmogorov-Smirnov Test: EXCLUDE
Kolmogorov-Smirnov Test for Uniform distribution: EXCLUDE
Kolmogorov-Smirnov Test for Gamma distribution: EXCLUDE
Kolmogorov-Smirnov Test for Exponential distribution: EXCLUDE

5. Self-check:
- Anderson-Darling Test: INCLUDE
- Shapiro-Wilk Test of Normality: INCLUDE
- Kolmogorov-Smirnov Test for Normality: INCLUDE
- Lilliefors Test: INCLUDE

6. FINAL ANSWER (JSON):
{""columns"": [""Myanmar""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}"
350,Variance Test,Do the variances in annual crop production in Thailand and China demonstrate statistical similarity?,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. Identify the variables involved.
   - Variables: Thailand, China

2. Determine the statistical task type.
   - Task Type: Variance Test

3. Select the appropriate method category.
   - Method Category: Variance Test

4. Evaluate the candidate methods.
   - Mood Variance Test: INCLUDE
   - Levene Test: INCLUDE
   - Bartlett Test: INCLUDE
   - F-Test for Variance: INCLUDE

5. Self-check: list only the methods marked INCLUDE in Step 4.
   - All methods marked INCLUDE are from the Variance Test category and are appropriate for comparing variances between two groups.

6. FINAL ANSWER (JSON):
{""columns"": [""Thailand"", ""China""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
52,Distribution Compliance Test,Do household income and the number of teenagers in the customer's household follow a similar distribution curve?,Kolmogorov-Smirnov Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test|Kolmogorov-Smirnov Test,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude,,,"1. Identify the variables involved.
   - Household Income (Income)
   - Number of Teenagers (Teenhome)

2. Determine the statistical task type.
   - The task is to compare the distribution curves of two quantitative variables.

3. Select the appropriate method category.
   - Distribution Compliance Test

4. Evaluate the candidate methods.
   Anderson-Darling Test: INCLUDE
   Shapiro-Wilk Test of Normality: INCLUDE
   Kolmogorov-Smirnov Test for Normality: INCLUDE
   Lilliefors Test: INCLUDE
   Kolmogorov-Smirnov Test: INCLUDE
   Kolmogorov-Smirnov Test for Uniform distribution: EXCLUDE
   Kolmogorov-Smirnov Test for Gamma distribution: EXCLUDE
   Kolmogorov-Smirnov Test for Exponential distribution: EXCLUDE

5. Self-check:
   - Anderson-Darling Test: INCLUDE
   - Shapiro-Wilk Test of Normality: INCLUDE
   - Kolmogorov-Smirnov Test for Normality: INCLUDE
   - Lilliefors Test: INCLUDE
   - Kolmogorov-Smirnov Test: INCLUDE

6. FINAL ANSWER (JSON):
{""columns"": [""Income"", ""Teenhome""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test"", ""Kolmogorov-Smirnov Test""]}"
332,Variance Test,Is there a similar level of variability between workday alcohol consumption (Dalc) and weekend alcohol consumption (Walc)?,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. Identify the variables involved: Dalc (workday alcohol consumption) and Walc (weekend alcohol consumption).
2. Determine the statistical task type: The task is to compare the variability between two quantitative variables.
3. Select the appropriate method category: Variance Test.
4. Evaluate the candidate methods:
   - Mood Variance Test: INCLUDE
   - Levene Test: INCLUDE
   - Bartlett Test: INCLUDE
   - F-Test for Variance: INCLUDE
5. Self-check: All methods marked INCLUDE in Step 4 are from the Variance Test category and are appropriate for comparing the variability between two quantitative variables. No contradictions are found.
6. FINAL ANSWER (JSON): {""columns"": [""Dalc"", ""Walc""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
377,Variance Test,Are the variances of the measured weight and the length of each exercise session homogeneous?,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. Identify the variables involved.
   - Measured weight: Actual Weight
   - Length of each exercise session: Duration

2. Determine the statistical task type.
   - The task is to check if the variances of two quantitative variables are homogeneous.

3. Select the appropriate method category.
   - Variance Test

4. Evaluate the candidate methods.
   - Mood Variance Test: INCLUDE
   - Levene Test: INCLUDE
   - Bartlett Test: INCLUDE
   - F-Test for Variance: INCLUDE

5. Self-check: list only the methods marked INCLUDE in Step 4.
   - All methods marked INCLUDE are from the Variance Test category and are appropriate for checking the homogeneity of variances between two quantitative variables.

6. FINAL ANSWER (JSON):
{""columns"": [""Actual Weight"", ""Duration""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
150,Distribution Compliance Test,Does the occurrence of the attack method involving bombing or explosion align with a normal distribution?,Anderson-Darling Test|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude,,,"1. Identify the variables involved.
   - The variable of interest is ""Attack method: Bombing/Explosion"".

2. Determine the statistical task type.
   - The task is to test if the occurrence of the attack method involving bombing or explosion aligns with a normal distribution.

3. Select the appropriate method category.
   - The appropriate method category is ""Distribution Compliance Test"".

4. Evaluate the candidate methods.
   - Anderson-Darling Test: INCLUDE
   - Shapiro-Wilk Test of Normality: INCLUDE
   - Kolmogorov-Smirnov Test for Normality: INCLUDE
   - Lilliefors Test: INCLUDE
   - Kolmogorov-Smirnov Test: EXCLUDE
   - Kolmogorov-Smirnov Test for Uniform distribution: EXCLUDE
   - Kolmogorov-Smirnov Test for Gamma distribution: EXCLUDE
   - Kolmogorov-Smirnov Test for Exponential distribution: EXCLUDE

5. Self-check: list only the methods marked INCLUDE in Step 4.
   - Anderson-Darling Test: INCLUDE
   - Shapiro-Wilk Test of Normality: INCLUDE
   - Kolmogorov-Smirnov Test for Normality: INCLUDE
   - Lilliefors Test: INCLUDE

6. FINAL ANSWER (JSON):
{""columns"": [""Attack method: Bombing/Explosion""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}"
216,Variance Test,Do the fluctuations in the Research Quality Score compare to those in the Teaching Score?,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. Identify the variables involved: Research Quality Score, Teaching Score.
2. Determine the statistical task type: The task is to compare the fluctuations (variance) in two quantitative variables.
3. Select the appropriate method category: Variance Test.
4. Evaluate the candidate methods:
   - Mood Variance Test: INCLUDE
   - Levene Test: INCLUDE
   - Bartlett Test: INCLUDE
   - F-Test for Variance: INCLUDE
5. Self-check: All methods marked INCLUDE are from the Variance Test category and are appropriate for comparing the variances of two quantitative variables.
6. FINAL ANSWER (JSON):
{""columns"": [""Research Quality Score"", ""Teaching Score""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
328,Variance Test,Do the variances of the player's overall skills and abilities and the player's weight in pounds exhibit homogeneity?,Mood Variance Test|Levene Test,Mood Variance Test|Levene Test|Bartlett Test|F-Test for Variance,fully_labeled,Mood Variance Test=include|Levene Test=include|Bartlett Test=include|F-Test for Variance=include,,,"1. Identify the variables involved: The variables involved are 'Overall' (player's overall skills and abilities) and 'Weight' (player's weight in pounds).
2. Determine the statistical task type: The task is to determine if the variances of these two variables are homogeneous.
3. Select the appropriate method category: The appropriate method category is Variance Test.
4. Evaluate the candidate methods:
   - Mood Variance Test: INCLUDE
   - Levene Test: INCLUDE
   - Bartlett Test: INCLUDE
   - F-Test for Variance: INCLUDE
5. Self-check: All methods marked INCLUDE in Step 4 are from the Variance Test category and do not contradict any conditions.
6. FINAL ANSWER (JSON): {""columns"": [""Overall"", ""Weight""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}"
395,Distribution Compliance Test,How can I visually assess whether the annual crop production in Thailand follows a normal distribution?,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality,Anderson-Darling Test|Shapiro-Wilk Test of Normality|Kolmogorov-Smirnov Test for Normality|Lilliefors Test,fully_labeled,Anderson-Darling Test=include|Shapiro-Wilk Test of Normality=include|Kolmogorov-Smirnov Test for Normality=include|Kolmogorov-Smirnov Test=include|Lilliefors Test=include|Kolmogorov-Smirnov Test for Uniform distribution=exclude|Kolmogorov-Smirnov Test for Gamma distribution=exclude|Kolmogorov-Smirnov Test for Exponential distribution=exclude,,,"1. The variable involved is 'Thailand' which is the annual crop production in Thailand.
2. The statistical task type is to visually assess the distribution of the data.
3. The appropriate method category is 'Distribution Compliance Test'.
4. 
- Anderson-Darling Test: INCLUDE
- Shapiro-Wilk Test of Normality: INCLUDE
- Kolmogorov-Smirnov Test for Normality: INCLUDE
- Lilliefors Test: INCLUDE
- Kolmogorov-Smirnov Test: EXCLUDE
- Kolmogorov-Smirnov Test for Uniform distribution: EXCLUDE
- Kolmogorov-Smirnov Test for Gamma distribution: EXCLUDE
- Kolmogorov-Smirnov Test for Exponential distribution: EXCLUDE
5. After self-check, the methods marked INCLUDE are:
- Anderson-Darling Test
- Shapiro-Wilk Test of Normality
- Kolmogorov-Smirnov Test for Normality
- Lilliefors Test
6. FINAL ANSWER (JSON):
{""columns"": [""Thailand""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}"
